start model 0
C:\Users\dozen\AppData\Local\Programs\Python\Python38\lib\site-packages\torch\autograd\__init__.py:130: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  ..\c10\cuda\CUDAFunctions.cpp:100.)
  Variable._execution_engine.run_backward(
25 Average Val Loss: 0.0255, Val Accuracy: 4162/4200 (99.095%)
26 Average Val Loss: 0.0256, Val Accuracy: 4163/4200 (99.119%)
27 Average Val Loss: 0.0255, Val Accuracy: 4163/4200 (99.119%)
28 Average Val Loss: 0.0252, Val Accuracy: 4163/4200 (99.119%)
29 Average Val Loss: 0.0244, Val Accuracy: 4165/4200 (99.167%)
30 Average Val Loss: 0.0245, Val Accuracy: 4163/4200 (99.119%)
31 Average Val Loss: 0.0246, Val Accuracy: 4164/4200 (99.143%)
32 Average Val Loss: 0.0242, Val Accuracy: 4163/4200 (99.119%)
33 Average Val Loss: 0.0245, Val Accuracy: 4165/4200 (99.167%)
34 Average Val Loss: 0.0242, Val Accuracy: 4163/4200 (99.119%)
35 Average Val Loss: 0.0244, Val Accuracy: 4162/4200 (99.095%)
36 Average Val Loss: 0.0241, Val Accuracy: 4166/4200 (99.190%)
37 Average Val Loss: 0.0242, Val Accuracy: 4165/4200 (99.167%)
38 Average Val Loss: 0.0244, Val Accuracy: 4163/4200 (99.119%)
39 Average Val Loss: 0.0244, Val Accuracy: 4163/4200 (99.119%)
40 Average Val Loss: 0.0244, Val Accuracy: 4163/4200 (99.119%)
41 Average Val Loss: 0.0244, Val Accuracy: 4162/4200 (99.095%)
42 Average Val Loss: 0.0244, Val Accuracy: 4163/4200 (99.119%)
43 Average Val Loss: 0.0247, Val Accuracy: 4164/4200 (99.143%)
44 Average Val Loss: 0.0243, Val Accuracy: 4164/4200 (99.143%)
45 Average Val Loss: 0.0244, Val Accuracy: 4168/4200 (99.238%)
46 Average Val Loss: 0.0245, Val Accuracy: 4163/4200 (99.119%)
47 Average Val Loss: 0.0247, Val Accuracy: 4164/4200 (99.143%)
48 Average Val Loss: 0.0242, Val Accuracy: 4166/4200 (99.190%)
49 Average Val Loss: 0.0242, Val Accuracy: 4166/4200 (99.190%)
50 Average Val Loss: 0.0244, Val Accuracy: 4164/4200 (99.143%)
51 Average Val Loss: 0.0244, Val Accuracy: 4165/4200 (99.167%)
